company,date,mean_compound,positive_ratio,negative_ratio,neutral_ratio,count
AMD,2025-08-19,0.086503,0.32,0.14,0.54,100
Amazon,2025-08-19,0.1353989898989899,0.494949494949495,0.23232323232323232,0.2727272727272727,99
Apple,2025-08-19,0.0908204081632653,0.3163265306122449,0.20408163265306123,0.47959183673469385,98
Google,2025-08-19,-0.017397000000000003,0.3,0.24,0.46,100
Intuit,2025-08-12,0.37848571428571426,0.6428571428571429,0.0,0.35714285714285715,14
Intuit,2025-08-13,0.0636,0.21428571428571427,0.14285714285714285,0.6428571428571429,14
Intuit,2025-08-14,0.0832,0.25,0.125,0.625,16
Intuit,2025-08-15,0.1680357142857143,0.2857142857142857,0.0,0.7142857142857143,14
Intuit,2025-08-16,0.0,0.0,0.0,1.0,1
Intuit,2025-08-17,-0.05485714285714287,0.14285714285714285,0.2857142857142857,0.5714285714285714,7
Intuit,2025-08-18,0.08449166666666667,0.5,0.16666666666666666,0.3333333333333333,12
Intuit,2025-08-19,0.011706250000000001,0.25,0.125,0.625,16
Meta,2025-08-19,0.03329784946236559,0.23655913978494625,0.23655913978494625,0.5268817204301075,93
Microsoft,2025-08-19,-0.00938469387755102,0.19387755102040816,0.25510204081632654,0.5510204081632653,98
NVIDIA,2025-08-19,0.06846666666666666,0.29292929292929293,0.18181818181818182,0.5252525252525253,99
Salesforce,2025-08-18,0.006357377049180327,0.22950819672131148,0.21311475409836064,0.5573770491803278,61
Salesforce,2025-08-19,0.10740526315789474,0.2894736842105263,0.10526315789473684,0.6052631578947368,38
Tesla,2025-08-19,-0.07721578947368421,0.22105263157894736,0.3894736842105263,0.3894736842105263,95
